id,lat,lng,street_count,geometry
0,22.5405032,114.1045038,3,POINT (114.1045038 22.5405032)
1,22.6903141,114.0493319,3,POINT (114.0493319 22.6903141)
2,22.6765897,114.0485573,3,POINT (114.0485573 22.6765897)
3,22.6814918,114.0503597,3,POINT (114.0503597 22.6814918)
4,22.6850707,114.0466497,3,POINT (114.0466497 22.6850707)
5,22.6818006,114.0463943,3,POINT (114.0463943 22.6818006)
6,22.6784983,114.0481539,3,POINT (114.0481539 22.6784983)
7,22.6881007,114.0494113,3,POINT (114.0494113 22.6881007)
8,22.6831518,114.0528064,3,POINT (114.0528064 22.6831518)
9,22.682382,114.0302102,3,POINT (114.0302102 22.682382)
10,22.530216,114.0034918,3,POINT (114.0034918 22.530216)
11,22.5293131,113.9972635,3,POINT (113.9972635 22.5293131)
12,22.5308944,114.0144321,3,POINT (114.0144321 22.5308944)
13,22.5298415,114.009271,3,POINT (114.009271 22.5298415)
14,22.6495577,113.8262261,3,POINT (113.8262261 22.6495577)
15,22.5381585,114.0937728,3,POINT (114.0937728 22.5381585)
16,22.548977,113.9881356,3,POINT (113.9881356 22.548977)
17,22.5495058,114.1259666,4,POINT (114.1259666 22.5495058)
18,22.5446178,113.9052629,3,POINT (113.9052629 22.5446178)
19,22.545367,113.9043606,3,POINT (113.9043606 22.545367)
20,22.5311913,113.9136106,5,POINT (113.9136106 22.5311913)
21,22.6649452,114.1209625,3,POINT (114.1209625 22.6649452)
22,22.6760886,114.1971458,3,POINT (114.1971458 22.6760886)
23,22.6762232,114.1971201,3,POINT (114.1971201 22.6762232)
24,22.6653098,114.1179575,3,POINT (114.1179575 22.6653098)
25,22.5318095,114.0671931,3,POINT (114.0671931 22.5318095)
26,22.5902018,113.9022082,3,POINT (113.9022082 22.5902018)
27,22.5766619,113.914816,3,POINT (113.914816 22.5766619)
28,22.5680999,113.9234574,4,POINT (113.9234574 22.5680999)
29,22.8005658,114.3280563,3,POINT (114.3280563 22.8005658)
30,22.801035,114.327853,3,POINT (114.327853 22.801035)
31,22.7452944,114.3078142,3,POINT (114.3078142 22.7452944)
32,22.5661821,113.9317428,3,POINT (113.9317428 22.5661821)
33,22.566042,113.9309169,3,POINT (113.9309169 22.566042)
34,22.5579258,113.928851,3,POINT (113.928851 22.5579258)
35,22.555519,113.926097,3,POINT (113.926097 22.555519)
36,22.5555794,113.9225111,4,POINT (113.9225111 22.5555794)
