start,end,capacity,flow,free_cost
0,13867,400.0,0.0,3.9313776784686736
0,1472,400.0,0.0,88.52525544565609
0,13857,1402.8,0.0,15.528394985788225
13867,0,400.0,0.0,3.9313776784686736
1472,0,400.0,0.0,88.5252554456561
1472,13841,400.0,0.0,13.186451961664291
13857,13859,160.0,0.0,3.3237068839442445
13857,13848,1402.8,0.0,1.5949765372859266
1,11405,2802.9,0.0,157.62915371490743
1,4,1122.3,0.0,153.44636370359916
11405,14024,2802.9,0.0,9.49481503888269
4,806,1122.3,0.0,84.70859076512842
4,811,1122.3,0.0,277.9407191674047
2,3,1122.3,0.0,138.7814448344476
2,7648,2802.9,0.0,160.45710227732403
3,805,1122.3,0.0,261.9198322762101
3,811,1122.3,0.0,80.6396336155484
7648,10789,2802.9,0.0,341.29039178654733
805,806,2802.9,0.0,9.68861564543812
811,802,1122.3,0.0,132.26136265919928
806,807,3000.0,0.0,116.91812467516678
5,7,1122.3,0.0,286.9413260448016
5,6,1122.3,0.0,95.34901344008642
7,7648,1122.3,0.0,104.68819345056392
6,11405,1122.3,0.0,90.39388137336375
8,7,1122.3,0.0,158.47192556272253
8,6,1122.3,0.0,358.10868696844653
9,808,1122.3,0.0,193.9560886234036
9,803,1122.3,0.0,101.65273038187615
808,9219,2802.9,0.0,297.1966217424684
803,801,3000.0,0.0,91.67204735916869
10,346,1759.5,0.0,16.40966435965738
10,11,1907.7,59.375,89.74770676589286
346,12596,1642.2,0.0,104.91501323780108
11,12596,1759.5,0.0,15.929691954167769
11,6832,1907.7,59.375,128.2918835531773
12596,338,1642.2,0.0,14.850946753814435
6832,333,1907.7,59.375,82.88996113670765
12,344,1642.2,0.0,15.490166949037144
12,13,1907.7,59.375,74.41774818146935
344,348,1642.2,0.0,17.473237627801055
13,10086,1907.7,59.375,23.28606560949469
10086,3652,1759.5,0.0,10.91512031720079
10086,10,1907.7,59.375,58.53734373544573
14,3740,1402.8,0.0,69.84273035422814
14,3879,1759.5,0.0,51.19090861708187
3740,2167,1402.8,0.0,57.587910475729736
3879,3878,1907.7,0.0,19.48274839980256
15,589,1907.7,159.875,79.36936025664922
15,587,1642.2,0.0,28.5891294737239
589,577,1907.7,159.875,58.33574625949318
587,13640,1402.8,0.0,15.642626101174171
587,583,1642.2,0.0,20.11540185550599
16,1975,1122.3,0.0,253.4663879123585
16,19935,3600.0,33.125,209.8460684897256
1975,19090,2802.9,0.0,3.3322955824639524
19935,19936,1122.3,33.125,148.84746060844222
17,2679,160.0,32.24999999999999,8.570622451608445
17,10948,1907.7,0.0,5.017526073341005
17,13901,400.0,0.0,16.130941323465457
2679,17,160.0,0.0,8.570622451608445
2679,2680,1907.7,0.0,16.37346769056858
2679,13899,160.0,32.24999999999999,136.34836870042452
10948,309,1907.7,0.0,40.56287378875037
13901,13900,400.0,0.0,112.74933799520224
13901,17,160.0,32.24999999999999,16.130941323465457
13901,10948,400.0,0.0,19.258654615343275
18,3263,1642.2,0.0,18.131133010045925
3263,9299,1642.2,0.0,88.59943803773696
3263,19,926.7,0.0,87.18745383830732
19,3566,926.7,0.0,31.09550162051123
3566,1993,926.7,0.0,71.19185604869189
